TotalSentimentScore,Vaccine,Death,Shut,Date,Price,Stock Splits
-0.05004700000000002,3,16,5,05/07/2020,157.8000030517578,0
-0.0866046728971963,2,10,4,05/08/2020,155.39999389648438,0
-0.07558378378378378,3,7,3,05/09/2020,160.93999481201172,0
-0.06660869565217392,2,9,4,05/10/2020,163.7099952697754,0
-0.05656067415730338,3,9,4,05/11/2020,166.47999572753906,0
-0.07501063829787236,3,11,1,05/12/2020,161.0399932861328,0
-0.10813482142857142,5,10,6,05/13/2020,167.13999938964844,0
-0.05548224299065422,3,5,6,05/14/2020,167.91000366210938,0
-0.05486195652173912,6,10,3,05/15/2020,174.8300018310547,0
-0.01747464788732395,4,6,5,05/16/2020,169.76000213623047,0
-0.11513968253968253,0,6,3,05/17/2020,167.22500228881836,0
-0.06331888888888887,3,7,7,05/18/2020,164.69000244140625,0
