TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day
-0.084303333,2,6,1,2,09/11/20,184993,6384889
-0.045447826,5,2,0,3,09/12/20,185811,6426755
0.024658537,1,3,3,4,09/13/20,186201,6461066
-0.042041429,3,5,4,2,09/14/20,186609,6494686
-0.104798361,4,2,5,1,09/15/20,187654,6529591
0.023408621,5,3,5,1,09/16/20,188832,6569703
-0.076588462,7,0,3,3,09/17/20,189712,6612992
-0.053219231,5,1,7,1,09/18/20,190612,6660244
-0.025084615,4,3,1,0,09/19/20,191359,6705149
-0.111320755,4,7,7,3,09/20/20,191682,6740652
-0.003878571,5,7,8,2,09/21/20,191962,6779791
-0.115727907,2,5,1,1,09/22/20,192826,6829266
-0.048878846,4,4,0,1,09/23/20,193980,6867886
0.045936111,5,2,1,2,09/24/20,194919,6911232
0.02476,4,6,0,2,09/25/20,195769,6966421
-0.064336842,2,3,1,2,09/26/20,196640,7013826
-0.114013636,5,3,2,1,09/27/20,196946,7048812
-0.050143182,0,7,3,0,09/28/20,197193,7084695
-0.1428575,5,5,0,0,09/29/20,197930,7121136
-0.091558537,4,2,7,4,09/30/20,198993,7165483
0.023259016,5,3,4,3,10/01/20,199851,7211088
0.350420084,3,2,4,1,10/02/20,200698,7260346
0.022251613,1,5,1,3,10/03/20,201438,7311280
-0.059781967,2,6,1,1,10/04/20,201803,7349267
-0.000451316,0,3,4,2,10/05/20,202147,7387024
-0.068055556,4,4,2,0,10/06/20,202757,7425941
0.087311475,1,2,5,1,10/07/20,203682,7476532
0.001762222,1,6,2,3,10/08/20,204667,7531740
-0.062276471,1,5,4,7,10/09/20,205565,7588542
-0.005891176,0,3,1,5,10/10/20,206246,7645956
-0.147060465,2,7,8,2,10/11/20,206714,7692224
-0.113491071,9,10,7,4,10/12/20,206996,7734868
-0.059344615,8,7,4,1,10/13/20,207694,7783462
-0.0193,5,4,5,3,10/14/20,208501,7839579
0.004865217,2,4,4,1,10/15/20,209431,7902973
-0.153635417,1,4,0,1,10/16/20,210328,7971222
-0.058246809,3,4,3,1,10/17/20,211101,8028550
-0.180978049,3,4,0,0,10/18/20,211503,8076834
0.07811875,0,1,7,1,10/19/20,211959,8133943
-0.007418605,5,2,4,0,10/20/20,212796,8194492
-0.099481429,16,17,0,4,10/21/20,213815,8255450
0.072650909,4,1,3,3,10/22/20,214941,8328292
-0.080093333,4,7,3,1,10/23/20,215875,8410625
-0.045723256,1,1,1,2,10/24/20,216765,8493912
-0.048908696,3,1,3,0,10/25/20,217147,8558805
-0.045096154,6,4,3,1,10/26/20,217549,8621330
-0.109510909,5,8,2,3,10/27/20,218468,8693413
-0.030883077,4,4,8,3,10/28/20,219512,8772165
-0.052483673,3,1,6,3,10/29/20,220549,8860888
0.143944444,1,0,0,1,10/30/20,221496,8958126
