TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day,AvgTravel,Price
-0.018806897,5,8,4,3,07/24/20,137556,4083294,3.083870968,28.18000030517578
0.019964383999999998,0,5,2,3,07/25/20,138561,4147670,3.083870968,28.31999969482422
-0.088645714,1,8,3,5,07/26/20,139121,4207793,3.083870968,28.389999389648438
0.006566956999999999,5,4,7,3,07/27/20,140186,4262807,3.083870968,28.459999084472656
-0.004162264000000001,7,6,1,3,07/28/20,141314,4321791,3.083870968,29.200000762939453
-0.036921875,3,8,1,4,07/29/20,142805,4385732,3.083870968,28.799999237060547
-0.04439898,4,14,3,1,07/30/20,144053,4454538,3.083870968,28.389999389648438
-0.050796875,5,7,3,2,07/31/20,145366,4522068,3.083870968,26.309999465942383
-0.09556354199999999,2,5,5,2,08/01/20,146558,4582313,2.989247312,26.670000076293945
-0.033981395,4,6,1,3,08/02/20,147052,4628823,2.989247312,26.850000381469727
-0.060798113,3,13,2,8,08/03/20,147588,4678171,2.989247312,27.030000686645508
0.02026,4,8,5,1,08/04/20,148827,4729986,2.989247312,27.540000915527344
-0.082316049,6,5,3,1,08/05/20,150187,4782450,2.989247312,28.559999465942383
-0.115483871,1,9,5,6,08/06/20,151435,4836253,2.989247312,28.90999984741211
-0.014996226000000001,11,7,4,4,08/07/20,152768,4897089,2.989247312,29.6200008392334
-0.017758442,5,12,2,5,08/08/20,153852,4950173,2.989247312,30.640000343322754
-0.024007367999999998,4,16,1,3,08/09/20,154466,5000326,2.989247312,31.15000009536743
-0.050135938,2,3,1,1,08/10/20,154901,5042069,2.989247312,31.65999984741211
-0.015714184,41,7,14,17,08/11/20,156224,5097499,2.989247312,32.29999923706055
0.009455294,15,8,1,1,08/12/20,157742,5153393,2.989247312,31.239999771118164
-0.054913860999999994,12,5,5,7,08/13/20,158906,5205014,2.989247312,30.65999984741211
-0.0027202529999999997,7,3,3,3,08/14/20,160125,5262107,2.989247312,31.559999465942383
0.075097368,10,1,3,1,08/15/20,161343,5317917,2.989247312,31.15999984741211
0.01968254,5,3,3,4,08/16/20,161961,5360239,2.989247312,30.960000038146973
-0.063766667,3,2,1,0,08/17/20,162380,5397650,2.989247312,30.760000228881836
-0.032975472,6,3,4,0,08/18/20,163575,5438142,2.989247312,30.5
0.05694,6,0,1,4,08/19/20,164999,5483024,2.989247312,31.049999237060547
-0.06509411799999999,9,4,1,1,08/20/20,166133,5526747,2.989247312,30.729999542236328
-0.074667188,4,1,2,3,08/21/20,167243,5572942,2.989247312,30.0
-0.10150344800000001,4,6,1,3,08/22/20,168271,5618664,2.989247312,31.565000534057617
-0.12055,2,6,1,1,08/23/20,168845,5655989,2.989247312,32.347500801086426
-0.021650633,8,3,2,1,08/24/20,169197,5690238,2.989247312,33.130001068115234
0.005292754,3,1,5,2,08/25/20,170337,5726826,2.989247312,32.86000061035156
-0.028576562000000003,3,7,1,8,08/26/20,171642,5770453,2.989247312,32.20000076293945
